Date of Posting,Creator Name,Post Link,Views,Plays,Likes,Comments,Engagement Score,Virality Score,Transcript,Topic,Take for the topic,Hook Format,Story Telling Flow,CTA
2024-08-29,Parent Wisdom,https://www.instagram.com/parent.wisdom/p/74085758769/,2163313,2668885,155452,17323,7.99,100,[Transcript for 'Digital detox for families' — Failure confession format],Digital detox for families,Science-backed method that actually works,Relatable struggle,Before > Turning point > After,DM me GUIDE for the free resource
2024-04-30,3mguru,https://www.instagram.com/3mguru/reels/p/38936563683/,475778,405952,40310,2438,8.98,100,[Transcript for 'Montessori at home' — Question hook format],Montessori at home,The tiny habit that transformed our mornings,Question hook,Before > Turning point > After,Comment your experience below
2024-06-11,Lauren Mejia,https://www.instagram.com/motherhood.and.montessori/p/84403331965/,2007415,2465834,81938,7863,4.47,100,[Transcript for 'Reducing mom guilt' — Bold controversial statement format],Reducing mom guilt,How this changed my relationship with my toddler overnight,Before vs After,Question > Answer > Evidence > CTA,Share with a parent friend
2025-05-10,Kriti S Gupta,https://www.instagram.com/explorewithmommy/p/78573569834/,896764,639883,115562,10413,14.05,100,[Transcript for 'Positive discipline techniques' — Bold controversial statement format],Positive discipline techniques,Stop blaming yourself — it's a system problem,Stat shock,Before > Turning point > After,DM me GUIDE for the free resource
2025-02-07,Scott Donnell,https://www.instagram.com/imscottdonnell/p/11619767886/,50275,43505,2016,139,4.29,21.0,[Transcript for 'Reading habits from age 1' — Bold controversial statement format],Reading habits from age 1,The uncomfortable truth about modern childhood,Failure confession,Hook > Story > Lesson > CTA,Link in bio for the full guide
2025-02-03,3mguru,https://www.instagram.com/3mguru/reels/p/54265656365/,962922,1343388,55627,4181,6.21,100,[Transcript for 'Raising confident girls' — Story-based open loop format],Raising confident girls,The tiny habit that transformed our mornings,Relatable struggle,Before > Turning point > After,Share with a parent friend
2024-08-17,Mikita,https://www.instagram.com/moneyforkids/p/89933966587/,1106715,1457450,70011,2400,6.54,100,[Transcript for 'Co-sleeping pros and cons' — Before vs After format],Co-sleeping pros and cons,The tiny habit that transformed our mornings,Question hook,Before > Turning point > After,Comment your experience below
2024-07-02,Ishinna B. Sadana,https://www.instagram.com/ishinna_b_sadana/p/16891533897/,1353350,1737738,84547,8802,6.9,100,[Transcript for 'Sleep training methods' — Before vs After format],Sleep training methods,How this changed my relationship with my toddler overnight,Bold controversial statement,Myth > Truth > Example > CTA,Link in bio for the full guide
2025-01-07,Payal V. Narang,https://www.instagram.com/playfulparenthood/p/89169236688/,1945627,1614090,247782,23404,13.94,100,[Transcript for 'Screen time limits for toddlers' — Myth busting format],Screen time limits for toddlers,What pediatricians wish parents knew,Stat shock,Before > Turning point > After,Follow for more parenting tips
2025-06-12,Shivani Kapoor,https://www.instagram.com/cafeparent/p/82850311618/,892755,726857,40829,2442,4.85,100,[Transcript for 'Handling sibling rivalry' — Relatable struggle format],Handling sibling rivalry,The uncomfortable truth about modern childhood,Question hook,Question > Answer > Evidence > CTA,Tag a mom who needs this
2024-03-28,Gigi,https://www.instagram.com/mom.ma.g/p/97676561660/,452394,411098,56861,6696,14.05,97.0,[Transcript for 'ADHD parenting tips' — Failure confession format],ADHD parenting tips,Science-backed method that actually works,Stat shock,Question > Answer > Evidence > CTA,Link in bio for the full guide
2024-04-21,Scott Donnell,https://www.instagram.com/imscottdonnell/p/85374224735/,1551578,1043206,67164,6189,4.73,100,[Transcript for 'Picky eater solutions' — Relatable struggle format],Picky eater solutions,Most parents are doing it wrong — here's what research says,Before vs After,Question > Answer > Evidence > CTA,Tag a mom who needs this
2024-06-18,Parent Wisdom,https://www.instagram.com/parent.wisdom/p/68499241960/,1954973,1995068,80578,3449,4.3,100,[Transcript for 'Reading habits from age 1' — Relatable struggle format],Reading habits from age 1,The uncomfortable truth about modern childhood,Before vs After,Hook > Story > Lesson > CTA,Save this for later
2024-10-30,ParulYadav,https://www.instagram.com/the.corporate.momm/p/28523853835/,1727378,1656580,75209,8632,4.85,100,[Transcript for 'Handling sibling rivalry' — Relatable struggle format],Handling sibling rivalry,How I changed my approach after 3 years of struggling,Myth busting,Myth > Truth > Example > CTA,Comment your experience below
2025-02-06,Shweta Gandhi,https://www.instagram.com/schweta.happyminds/p/52577887207/,455297,474298,67641,3394,15.6,99.0,[Transcript for 'Positive discipline techniques' — Failure confession format],Positive discipline techniques,Most parents are doing it wrong — here's what research says,Before vs After,Before > Turning point > After,DM me GUIDE for the free resource
2025-01-10,Swati Goyal,https://www.instagram.com/iamswatigoyal_/p/89944689480/,1804274,2505878,189032,6489,10.84,100,[Transcript for 'Co-sleeping pros and cons' — Bold controversial statement format],Co-sleeping pros and cons,The tiny habit that transformed our mornings,Relatable struggle,Problem > Agitate > Solve,Save this for later
2025-03-10,Kriti S Gupta,https://www.instagram.com/explorewithmommy/p/97155230215/,772262,621647,113744,2537,15.06,100,[Transcript for 'Managing tantrums in public' — Bold controversial statement format],Managing tantrums in public,How I changed my approach after 3 years of struggling,Bold controversial statement,Before > Turning point > After,Save this for later
2024-01-03,Supriya Malpani,https://www.instagram.com/parentingclassroom/p/73660375515/,1267063,1065795,150069,4138,12.17,100,[Transcript for 'Unschooling vs traditional schooling' — Myth busting format],Unschooling vs traditional schooling,What pediatricians wish parents knew,Before vs After,Myth > Truth > Example > CTA,Link in bio for the full guide
2025-03-18,Arpita Axay Pithava,https://www.instagram.com/firsttimemom.official/p/74769170820/,1864360,2571787,95578,8382,5.58,100,[Transcript for 'Unschooling vs traditional schooling' — Stat shock format],Unschooling vs traditional schooling,Stop blaming yourself — it's a system problem,Failure confession,Hook > Story > Lesson > CTA,Link in bio for the full guide
2024-07-13,Hollie Mayes,https://www.instagram.com/hollie_mayes/p/81903139914/,1369653,1252018,108570,4997,8.29,100,[Transcript for 'Sleep training methods' — Myth busting format],Sleep training methods,Science-backed method that actually works,Bold controversial statement,Hook > Story > Lesson > CTA,Tag a mom who needs this
2025-05-21,drtristha,https://www.instagram.com/drtristha/p/53255900172/,658034,780016,69787,2612,11.0,100,[Transcript for 'Reading habits from age 1' — Question hook format],Reading habits from age 1,How I changed my approach after 3 years of struggling,Bold controversial statement,Myth > Truth > Example > CTA,DM me GUIDE for the free resource
2025-01-08,Ambika Agarwal,https://www.instagram.com/true_parenting_story/p/49656562040/,638574,589417,81535,8694,14.13,100,[Transcript for 'Building emotional intelligence' — Question hook format],Building emotional intelligence,The tiny habit that transformed our mornings,Stat shock,Myth > Truth > Example > CTA,Save this for later
2024-05-19,Sangeetha,https://www.instagram.com/sangeetharofficial/p/72271424181/,1553395,1278241,197693,12492,13.53,100,[Transcript for 'Unschooling vs traditional schooling' — Stat shock format],Unschooling vs traditional schooling,How I changed my approach after 3 years of struggling,Question hook,Question > Answer > Evidence > CTA,Comment your experience below
2024-11-12,Ambika Agarwal,https://www.instagram.com/true_parenting_story/p/52900833718/,246108,332346,24306,1988,10.68,100,[Transcript for 'ADHD parenting tips' — Failure confession format],ADHD parenting tips,The uncomfortable truth about modern childhood,Question hook,Question > Answer > Evidence > CTA,Follow for more parenting tips
2025-03-26,Supriya Malpani,https://www.instagram.com/parentingclassroom/p/32069627534/,503750,610993,43336,5151,9.63,100,[Transcript for 'Co-sleeping pros and cons' — Story-based open loop format],Co-sleeping pros and cons,What pediatricians wish parents knew,Myth busting,Question > Answer > Evidence > CTA,Share with a parent friend
2024-06-26,Swati Goyal,https://www.instagram.com/iamswatigoyal_/p/42034826424/,1754099,1475319,137196,8044,8.28,100,[Transcript for 'Montessori at home' — Stat shock format],Montessori at home,How I changed my approach after 3 years of struggling,Story-based open loop,Myth > Truth > Example > CTA,Follow for more parenting tips
2025-04-28,Rama Yadav,https://www.instagram.com/momofdiyan/p/14282956126/,928122,702959,83421,8232,9.88,100,[Transcript for 'Montessori at home' — Stat shock format],Montessori at home,The uncomfortable truth about modern childhood,Before vs After,Myth > Truth > Example > CTA,Comment your experience below
2025-01-24,Meg Rogerson,https://www.instagram.com/meg.rogerson_author/p/53114957442/,1099532,914698,64574,3332,6.18,100,[Transcript for 'Reducing mom guilt' — Question hook format],Reducing mom guilt,How this changed my relationship with my toddler overnight,Stat shock,Problem > Agitate > Solve,Save this for later
2024-06-10,Dr Medhat Abu Shaaban,https://www.instagram.com/doctormedhat/p/39753506027/,172182,217621,23752,1113,14.44,53.0,[Transcript for 'Financial literacy for kids' — Stat shock format],Financial literacy for kids,How I changed my approach after 3 years of struggling,Story-based open loop,Hook > Story > Lesson > CTA,Share with a parent friend
2025-03-29,Mikita,https://www.instagram.com/moneyforkids/p/22557870134/,1788158,2465985,126171,15035,7.9,100,[Transcript for 'Screen time limits for toddlers' — Question hook format],Screen time limits for toddlers,Stop blaming yourself — it's a system problem,Question hook,Myth > Truth > Example > CTA,Link in bio for the full guide
2024-05-09,Meg Rogerson,https://www.instagram.com/meg.rogerson_author/p/88023722378/,270157,233536,37989,3645,15.41,100,[Transcript for 'Building emotional intelligence' — Failure confession format],Building emotional intelligence,Science-backed method that actually works,Failure confession,Before > Turning point > After,Follow for more parenting tips
2025-04-05,Shivani Kapoor,https://www.instagram.com/cafeparent/p/69224393454/,465513,595906,23553,713,5.21,100,[Transcript for 'Managing tantrums in public' — Before vs After format],Managing tantrums in public,How I changed my approach after 3 years of struggling,Relatable struggle,Myth > Truth > Example > CTA,Tag a mom who needs this
2025-05-06,Manita Jain,https://www.instagram.com/babyobooks/p/83440079669/,2028949,2106103,233705,22139,12.61,100,[Transcript for 'Sleep training methods' — Question hook format],Sleep training methods,Why gentle parenting is not permissive parenting,Relatable struggle,Problem > Agitate > Solve,Share with a parent friend
2024-05-23,Meg Rogerson,https://www.instagram.com/meg.rogerson_author/p/39364733415/,527992,588740,43601,1224,8.49,100,[Transcript for 'Montessori at home' — Story-based open loop format],Montessori at home,The one thing nobody tells new moms,Myth busting,Myth > Truth > Example > CTA,DM me GUIDE for the free resource
2024-03-24,Anishkaa Malpani,https://www.instagram.com/anishkaa_malpani/p/15954747851/,1576931,1352508,70441,7735,4.96,100,[Transcript for 'Screen time limits for toddlers' — Story-based open loop format],Screen time limits for toddlers,Stop blaming yourself — it's a system problem,Before vs After,Myth > Truth > Example > CTA,Link in bio for the full guide
2024-09-07,Rama Yadav,https://www.instagram.com/momofdiyan/p/64112118889/,1601006,1880000,206535,19160,14.1,100,[Transcript for 'ADHD parenting tips' — Stat shock format],ADHD parenting tips,The one thing nobody tells new moms,Question hook,Question > Answer > Evidence > CTA,Follow for more parenting tips
2024-01-11,Lauren Mejia,https://www.instagram.com/motherhood.and.montessori/p/43909679963/,1670856,1399737,239945,22574,15.71,100,[Transcript for 'Montessori at home' — Before vs After format],Montessori at home,How this changed my relationship with my toddler overnight,Before vs After,Question > Answer > Evidence > CTA,Link in bio for the full guide
2024-10-19,Manita Jain,https://www.instagram.com/babyobooks/p/13575518518/,1740430,1845488,231870,7157,13.73,100,[Transcript for 'Financial literacy for kids' — Stat shock format],Financial literacy for kids,How this changed my relationship with my toddler overnight,Question hook,Myth > Truth > Example > CTA,Follow for more parenting tips
2024-10-11,3mguru,https://www.instagram.com/3mguru/reels/p/21581654764/,2134991,2709786,162514,10244,8.09,100,[Transcript for 'ADHD parenting tips' — Story-based open loop format],ADHD parenting tips,Science-backed method that actually works,Relatable struggle,Myth > Truth > Example > CTA,Comment your experience below
2024-04-28,Payal V. Narang,https://www.instagram.com/playfulparenthood/p/44985883384/,2015437,2314948,218834,25425,12.12,100,[Transcript for 'Building emotional intelligence' — Bold controversial statement format],Building emotional intelligence,The one thing nobody tells new moms,Stat shock,Hook > Story > Lesson > CTA,Follow for more parenting tips
2025-04-07,Hollie Mayes,https://www.instagram.com/hollie_mayes/p/50281556177/,758460,473204,109422,12151,16.03,100,[Transcript for 'Language development milestones' — Failure confession format],Language development milestones,Stop blaming yourself — it's a system problem,Before vs After,Question > Answer > Evidence > CTA,Follow for more parenting tips
2024-02-12,Gigi,https://www.instagram.com/mom.ma.g/p/11316390630/,1662589,1020988,101370,6264,6.47,100,[Transcript for 'Unschooling vs traditional schooling' — Failure confession format],Unschooling vs traditional schooling,Most parents are doing it wrong — here's what research says,Question hook,Myth > Truth > Example > CTA,DM me GUIDE for the free resource
2024-12-31,Gigi,https://www.instagram.com/mom.ma.g/p/42808778428/,762172,477208,91194,8294,13.05,100,[Transcript for 'Language development milestones' — Failure confession format],Language development milestones,The one thing nobody tells new moms,Before vs After,Myth > Truth > Example > CTA,Link in bio for the full guide
2024-02-18,Sneha Tapadia,https://www.instagram.com/tapadia.sneha/p/53179043824/,1992024,2271606,203608,22563,11.35,100,[Transcript for 'Teaching consent to toddlers' — Relatable struggle format],Teaching consent to toddlers,Most parents are doing it wrong — here's what research says,Failure confession,Hook > Story > Lesson > CTA,Tag a mom who needs this
2025-06-21,Ambika Agarwal,https://www.instagram.com/true_parenting_story/p/31302068639/,2357325,1930262,100289,9983,4.68,100,[Transcript for 'Building emotional intelligence' — Stat shock format],Building emotional intelligence,How this changed my relationship with my toddler overnight,Story-based open loop,Hook > Story > Lesson > CTA,Tag a mom who needs this
2025-03-02,Sneha Tapadia,https://www.instagram.com/tapadia.sneha/p/20058775683/,183993,216386,24154,2082,14.26,100,[Transcript for 'Reading habits from age 1' — Failure confession format],Reading habits from age 1,What pediatricians wish parents knew,Question hook,Problem > Agitate > Solve,Save this for later
2024-09-12,Parent Wisdom,https://www.instagram.com/parent.wisdom/p/28843738842/,1893552,2077080,92540,6978,5.26,100,[Transcript for 'Nature play benefits' — Bold controversial statement format],Nature play benefits,Why gentle parenting is not permissive parenting,Failure confession,Question > Answer > Evidence > CTA,Link in bio for the full guide
2024-04-03,Ankita B Chandak,https://www.instagram.com/followyourchild/p/51096895307/,418815,365953,59418,6888,15.83,100,[Transcript for 'Montessori at home' — Myth busting format],Montessori at home,How this changed my relationship with my toddler overnight,Before vs After,Hook > Story > Lesson > CTA,Link in bio for the full guide
2024-11-26,Dr Medhat Abu Shaaban,https://www.instagram.com/doctormedhat/p/56537488679/,1342215,858567,185751,4476,14.17,100,[Transcript for 'Language development milestones' — Relatable struggle format],Language development milestones,Why gentle parenting is not permissive parenting,Story-based open loop,Problem > Agitate > Solve,Tag a mom who needs this
2025-05-07,Vishruti Shah,https://www.instagram.com/vishruti_shah_unschooling/p/87333413460/,655822,652873,68845,7393,11.62,100,[Transcript for 'Sleep training methods' — Story-based open loop format],Sleep training methods,Most parents are doing it wrong — here's what research says,Stat shock,Myth > Truth > Example > CTA,Save this for later
2025-06-14,Mikita,https://www.instagram.com/moneyforkids/p/88206835481/,2382249,2015852,336115,31067,15.41,100,[Transcript for 'Picky eater solutions' — Failure confession format],Picky eater solutions,Stop blaming yourself — it's a system problem,Question hook,Before > Turning point > After,Tag a mom who needs this
2025-05-15,Meg Rogerson,https://www.instagram.com/meg.rogerson_author/p/27881133743/,1550808,1430414,219494,22815,15.62,100,[Transcript for 'Age-appropriate chores' — Stat shock format],Age-appropriate chores,How this changed my relationship with my toddler overnight,Story-based open loop,Question > Answer > Evidence > CTA,Link in bio for the full guide
2024-11-10,Swati Goyal,https://www.instagram.com/iamswatigoyal_/p/23442949848/,1661268,1307044,217412,10274,13.71,100,[Transcript for 'Reading habits from age 1' — Before vs After format],Reading habits from age 1,The uncomfortable truth about modern childhood,Myth busting,Hook > Story > Lesson > CTA,Tag a mom who needs this
2024-07-30,Anishkaa Malpani,https://www.instagram.com/anishkaa_malpani/p/83291639013/,987340,862664,92732,2919,9.69,100,[Transcript for 'Managing tantrums in public' — Before vs After format],Managing tantrums in public,What pediatricians wish parents knew,Story-based open loop,Myth > Truth > Example > CTA,Follow for more parenting tips
2025-04-11,Parent Wisdom,https://www.instagram.com/parent.wisdom/p/31699248889/,2278816,3141336,276048,30286,13.44,100,[Transcript for 'Picky eater solutions' — Relatable struggle format],Picky eater solutions,Most parents are doing it wrong — here's what research says,Stat shock,Problem > Agitate > Solve,Link in bio for the full guide
2025-03-30,Supriya Malpani,https://www.instagram.com/parentingclassroom/p/80727330986/,148232,160994,19584,1085,13.94,37.0,[Transcript for 'Sleep training methods' — Stat shock format],Sleep training methods,Most parents are doing it wrong — here's what research says,Bold controversial statement,Myth > Truth > Example > CTA,Follow for more parenting tips
2024-11-08,drtristha,https://www.instagram.com/drtristha/p/90131431048/,595396,800854,39171,4321,7.3,100,[Transcript for 'Financial literacy for kids' — Bold controversial statement format],Financial literacy for kids,Why gentle parenting is not permissive parenting,Question hook,Myth > Truth > Example > CTA,Save this for later
2025-05-29,Anishkaa Malpani,https://www.instagram.com/anishkaa_malpani/p/86682844688/,1478694,1051884,130157,9281,9.43,100,[Transcript for 'Positive discipline techniques' — Relatable struggle format],Positive discipline techniques,How this changed my relationship with my toddler overnight,Before vs After,Before > Turning point > After,Link in bio for the full guide
2024-05-07,Shivani Kapoor,https://www.instagram.com/cafeparent/p/11812963289/,336763,469458,39797,1958,12.4,100,[Transcript for 'Screen time limits for toddlers' — Story-based open loop format],Screen time limits for toddlers,Science-backed method that actually works,Bold controversial statement,Myth > Truth > Example > CTA,Tag a mom who needs this
2024-08-19,Supriya Malpani,https://www.instagram.com/parentingclassroom/p/19102994199/,2362841,2399279,233890,6729,10.18,100,[Transcript for 'Handling sibling rivalry' — Failure confession format],Handling sibling rivalry,How I changed my approach after 3 years of struggling,Relatable struggle,Hook > Story > Lesson > CTA,Save this for later
2025-01-08,Supriya Malpani,https://www.instagram.com/parentingclassroom/p/10323280775/,1990120,2282671,179535,13939,9.72,100,[Transcript for 'Montessori at home' — Failure confession format],Montessori at home,How this changed my relationship with my toddler overnight,Before vs After,Problem > Agitate > Solve,DM me GUIDE for the free resource
2024-11-23,Mikita,https://www.instagram.com/moneyforkids/p/34542301450/,1459292,1696375,210617,8882,15.04,100,[Transcript for 'Co-sleeping pros and cons' — Before vs After format],Co-sleeping pros and cons,Stop blaming yourself — it's a system problem,Story-based open loop,Problem > Agitate > Solve,DM me GUIDE for the free resource
2024-03-08,ParulYadav,https://www.instagram.com/the.corporate.momm/p/83017411208/,623217,665165,30487,3657,5.48,100,[Transcript for 'Managing tantrums in public' — Bold controversial statement format],Managing tantrums in public,The one thing nobody tells new moms,Failure confession,Question > Answer > Evidence > CTA,Follow for more parenting tips
2025-06-16,DANNAH EVE,https://www.instagram.com/dannah_eve/p/36327442249/,1481889,1763415,204211,20929,15.19,100,[Transcript for 'Managing tantrums in public' — Question hook format],Managing tantrums in public,The tiny habit that transformed our mornings,Stat shock,Question > Answer > Evidence > CTA,Share with a parent friend
2024-02-18,Payal V. Narang,https://www.instagram.com/playfulparenthood/p/19712241627/,2289550,2145073,301720,24066,14.23,100,[Transcript for 'Age-appropriate chores' — Myth busting format],Age-appropriate chores,The uncomfortable truth about modern childhood,Question hook,Hook > Story > Lesson > CTA,Follow for more parenting tips
2024-12-26,Gigi,https://www.instagram.com/mom.ma.g/p/26382544434/,619615,680974,41583,4742,7.48,100,[Transcript for 'Financial literacy for kids' — Stat shock format],Financial literacy for kids,The uncomfortable truth about modern childhood,Myth busting,Myth > Truth > Example > CTA,DM me GUIDE for the free resource
2025-02-18,Supriya Malpani,https://www.instagram.com/parentingclassroom/p/34718945195/,484375,373240,55196,3958,12.21,100,[Transcript for 'Picky eater solutions' — Bold controversial statement format],Picky eater solutions,Stop blaming yourself — it's a system problem,Relatable struggle,Problem > Agitate > Solve,Comment your experience below
2025-05-07,Rama Yadav,https://www.instagram.com/momofdiyan/p/33909046718/,2374246,2141127,290784,9320,12.64,100,[Transcript for 'Screen time limits for toddlers' — Before vs After format],Screen time limits for toddlers,Stop blaming yourself — it's a system problem,Relatable struggle,Hook > Story > Lesson > CTA,DM me GUIDE for the free resource
2025-04-28,Lauren Mejia,https://www.instagram.com/motherhood.and.montessori/p/50483747352/,1336183,1764820,107219,10869,8.84,100,[Transcript for 'Sleep training methods' — Story-based open loop format],Sleep training methods,The one thing nobody tells new moms,Bold controversial statement,Myth > Truth > Example > CTA,Tag a mom who needs this
2024-01-23,Ambika Agarwal,https://www.instagram.com/true_parenting_story/p/97736366452/,250386,340079,20991,1036,8.8,73.0,[Transcript for 'Teaching consent to toddlers' — Failure confession format],Teaching consent to toddlers,How I changed my approach after 3 years of struggling,Stat shock,Problem > Agitate > Solve,Save this for later
2024-09-15,Ishinna B. Sadana,https://www.instagram.com/ishinna_b_sadana/p/45940397210/,2365037,1903077,352022,29107,16.12,100,[Transcript for 'Co-sleeping pros and cons' — Bold controversial statement format],Co-sleeping pros and cons,The one thing nobody tells new moms,Bold controversial statement,Hook > Story > Lesson > CTA,DM me GUIDE for the free resource
2024-02-29,Gigi,https://www.instagram.com/mom.ma.g/p/52595283369/,91694,83822,6015,307,6.89,24.0,[Transcript for 'Sleep training methods' — Relatable struggle format],Sleep training methods,The tiny habit that transformed our mornings,Stat shock,Before > Turning point > After,Share with a parent friend
2024-07-18,3mguru,https://www.instagram.com/3mguru/reels/p/66936191334/,721904,732972,42610,1473,6.11,100,[Transcript for 'Montessori at home' — Before vs After format],Montessori at home,Why gentle parenting is not permissive parenting,Bold controversial statement,Myth > Truth > Example > CTA,DM me GUIDE for the free resource
2025-02-13,Arpita Axay Pithava,https://www.instagram.com/firsttimemom.official/p/66590289928/,1465546,1643172,209497,10805,15.03,100,[Transcript for 'Nature play benefits' — Story-based open loop format],Nature play benefits,How I changed my approach after 3 years of struggling,Myth busting,Before > Turning point > After,Follow for more parenting tips
2025-01-06,DANNAH EVE,https://www.instagram.com/dannah_eve/p/20166159973/,912555,1062912,135548,3664,15.26,100,[Transcript for 'Raising confident girls' — Question hook format],Raising confident girls,The one thing nobody tells new moms,Myth busting,Myth > Truth > Example > CTA,DM me GUIDE for the free resource
2024-02-09,Parent Wisdom,https://www.instagram.com/parent.wisdom/p/93964197690/,931753,913050,57305,5360,6.73,100,[Transcript for 'Reading habits from age 1' — Stat shock format],Reading habits from age 1,Why gentle parenting is not permissive parenting,Myth busting,Myth > Truth > Example > CTA,DM me GUIDE for the free resource
2024-04-11,Rama Yadav,https://www.instagram.com/momofdiyan/p/95432923683/,2061127,1390191,112634,2312,5.58,100,[Transcript for 'Reading habits from age 1' — Stat shock format],Reading habits from age 1,The uncomfortable truth about modern childhood,Bold controversial statement,Hook > Story > Lesson > CTA,Save this for later
2024-09-13,Shweta Gandhi,https://www.instagram.com/schweta.happyminds/p/49437980585/,325749,440282,46220,2048,14.82,90.0,[Transcript for 'ADHD parenting tips' — Relatable struggle format],ADHD parenting tips,Why gentle parenting is not permissive parenting,Stat shock,Myth > Truth > Example > CTA,Tag a mom who needs this
2024-03-29,Ankita B Chandak,https://www.instagram.com/followyourchild/p/90611359029/,458809,412277,49102,1805,11.1,100,[Transcript for 'Handling sibling rivalry' — Relatable struggle format],Handling sibling rivalry,How I changed my approach after 3 years of struggling,Before vs After,Problem > Agitate > Solve,Save this for later
2024-05-14,Meg Rogerson,https://www.instagram.com/meg.rogerson_author/p/32502678556/,1876901,1197810,168376,16393,9.84,100,[Transcript for 'ADHD parenting tips' — Stat shock format],ADHD parenting tips,The uncomfortable truth about modern childhood,Myth busting,Question > Answer > Evidence > CTA,Share with a parent friend
2024-01-14,Sneha Tapadia,https://www.instagram.com/tapadia.sneha/p/73413945075/,1757263,1813181,119738,13374,7.57,100,[Transcript for 'Raising confident girls' — Failure confession format],Raising confident girls,The tiny habit that transformed our mornings,Myth busting,Myth > Truth > Example > CTA,Follow for more parenting tips
2025-05-30,Dr. Gaayatri Rathod,https://www.instagram.com/psychiatrist.mom/p/65795851859/,186148,133411,8356,450,4.73,41.0,[Transcript for 'Managing tantrums in public' — Question hook format],Managing tantrums in public,How I changed my approach after 3 years of struggling,Relatable struggle,Hook > Story > Lesson > CTA,Comment your experience below
2025-03-17,Vishruti Shah,https://www.instagram.com/vishruti_shah_unschooling/p/73683036686/,55109,75814,5159,532,10.33,26.0,[Transcript for 'Handling sibling rivalry' — Story-based open loop format],Handling sibling rivalry,Stop blaming yourself — it's a system problem,Story-based open loop,Myth > Truth > Example > CTA,Share with a parent friend
2025-05-31,3mguru,https://www.instagram.com/3mguru/reels/p/89510928528/,1950044,2587643,227177,7590,12.04,100,[Transcript for 'Nature play benefits' — Relatable struggle format],Nature play benefits,Most parents are doing it wrong — here's what research says,Stat shock,Hook > Story > Lesson > CTA,Tag a mom who needs this
2024-01-20,Supriya Malpani,https://www.instagram.com/parentingclassroom/p/48009348743/,371747,343915,31132,2331,9.0,100,[Transcript for 'Reducing mom guilt' — Failure confession format],Reducing mom guilt,The one thing nobody tells new moms,Relatable struggle,Hook > Story > Lesson > CTA,Comment your experience below
2024-04-17,Parent Wisdom,https://www.instagram.com/parent.wisdom/p/25931246278/,1594165,1021679,205858,5255,13.24,100,[Transcript for 'Language development milestones' — Before vs After format],Language development milestones,Why gentle parenting is not permissive parenting,Failure confession,Before > Turning point > After,Follow for more parenting tips
2024-11-08,Mikita,https://www.instagram.com/moneyforkids/p/33629864824/,386755,532420,33428,943,8.89,100,[Transcript for 'Positive discipline techniques' — Question hook format],Positive discipline techniques,Stop blaming yourself — it's a system problem,Bold controversial statement,Question > Answer > Evidence > CTA,Save this for later
2024-06-26,Gigi,https://www.instagram.com/mom.ma.g/p/91264488690/,2044458,1438029,163962,16770,8.84,100,[Transcript for 'Unschooling vs traditional schooling' — Before vs After format],Unschooling vs traditional schooling,Why gentle parenting is not permissive parenting,Question hook,Problem > Agitate > Solve,Tag a mom who needs this
2024-05-29,Manita Jain,https://www.instagram.com/babyobooks/p/70744505114/,250786,291407,30573,3005,13.39,100,[Transcript for 'Digital detox for families' — Myth busting format],Digital detox for families,Most parents are doing it wrong — here's what research says,Relatable struggle,Problem > Agitate > Solve,Comment your experience below
2025-04-21,ParulYadav,https://www.instagram.com/the.corporate.momm/p/57143978444/,1947986,1337557,135374,5523,7.23,100,[Transcript for 'Raising confident girls' — Stat shock format],Raising confident girls,The one thing nobody tells new moms,Stat shock,Question > Answer > Evidence > CTA,Tag a mom who needs this
2024-04-26,Ambika Agarwal,https://www.instagram.com/true_parenting_story/p/69107178623/,1338237,1435001,189466,3962,14.45,100,[Transcript for 'Reading habits from age 1' — Failure confession format],Reading habits from age 1,Most parents are doing it wrong — here's what research says,Question hook,Hook > Story > Lesson > CTA,Save this for later
2025-04-19,Swati Goyal,https://www.instagram.com/iamswatigoyal_/p/63156672412/,2120195,2564696,139061,8439,6.96,100,[Transcript for 'Teaching consent to toddlers' — Stat shock format],Teaching consent to toddlers,The tiny habit that transformed our mornings,Bold controversial statement,Question > Answer > Evidence > CTA,Follow for more parenting tips
2025-04-05,Dr. Gaayatri Rathod,https://www.instagram.com/psychiatrist.mom/p/53038549558/,1107485,1074080,107200,11975,10.76,100,[Transcript for 'Nature play benefits' — Failure confession format],Nature play benefits,What pediatricians wish parents knew,Failure confession,Hook > Story > Lesson > CTA,Comment your experience below
2024-03-05,Aditi K,https://www.instagram.com/this.mamas.diary/p/25562209695/,1695930,1106211,246206,24694,15.97,100,[Transcript for 'Sleep training methods' — Before vs After format],Sleep training methods,How this changed my relationship with my toddler overnight,Myth busting,Question > Answer > Evidence > CTA,Link in bio for the full guide
2024-07-04,Anishkaa Malpani,https://www.instagram.com/anishkaa_malpani/p/20387803158/,2034393,2225733,146090,8596,7.6,100,[Transcript for 'Nature play benefits' — Failure confession format],Nature play benefits,Stop blaming yourself — it's a system problem,Stat shock,Before > Turning point > After,Follow for more parenting tips
2024-02-04,Anishkaa Malpani,https://www.instagram.com/anishkaa_malpani/p/94774898541/,1457047,1947635,95434,11451,7.34,100,[Transcript for 'Screen time limits for toddlers' — Story-based open loop format],Screen time limits for toddlers,What pediatricians wish parents knew,Myth busting,Myth > Truth > Example > CTA,Follow for more parenting tips
